"recipe_category","recipe_page_no","recipe_path","recipe_name"
"indian","1","81356"," peanut rice "
"indian","1","256599"," tomato cucumber kachumbar "
"indian","1","256454"," indian influenced zucchini onion pepper latkes "
"indian","1","247204"," red split lentils  masoor dal  "
"indian","1","246179"," black chana with potato "
"indian","1","245131"," tamarind sauce fish curry "
"indian","1","240833"," curried cream of cauliflower soup "
"indian","1","238977"," lamb korma "
"indian","1","236447"," jorge s indian spiced tomato lentil soup "
"indian","1","45736"," chicken tikka masala "
"indian","1","14565"," naan "
"indian","1","13087"," mulligatawny soup i "
"indian","1","60598"," vegetarian korma "
"indian","1","45957"," chicken makhani  indian butter chicken  "
"indian","1","46822"," indian chicken curry ii "
"indian","1","16641"," red lentil curry "
"indian","1","228293"," curry stand chicken tikka masala sauce "
"indian","1","141169"," easy indian butter chicken "
"indian","1","165190"," spicy vegan potato curry "
"indian","1","212721"," indian chicken curry  murgh kari  "
"indian","1","17971"," carrot rice "
"indian","1","34689"," chickpea curry "
"indian","1","174543"," slow cooker butter chicken "
"indian","1","47564"," baingan bharta  eggplant curry  "
"indian","1","14035"," aloo phujia "
"indian","1","86828"," grilled chicken thighs tandoori "
"indian","1","50347"," indian tandoori chicken "
"indian","1","72349"," indian style basmati rice "
"indian","1","68473"," chicken korma ii "
"indian","2","17449"," indian tomato chicken "
"indian","2","32620"," mango lassi ii "
"indian","2","21459"," indian dahl with spinach "
"indian","2","20312"," absolutely perfect palak paneer "
"indian","2","24871"," beef samosas "
"indian","2","213140"," keon s slow cooker curry chicken "
"indian","2","22765"," easy masoor daal "
"indian","2","105553"," spicy indian chicken and mango curry "
"indian","2","104820"," coconut tofu keema "
"indian","2","55641"," gobi aloo  indian style cauliflower with potatoes  "
"indian","2","20036"," indian chicken curry i "
"indian","2","205544"," indian shrimp curry "
"indian","2","80686"," indian eggplant   bhurtha "
"indian","2","85469"," indian chapati bread "
"indian","2","151997"," alicia s aloo gobi "
"indian","2","74203"," kheer  rice pudding  "
"indian","2","78008"," chicken stew with coconut milk "
"indian","2","228446"," authentic chicken tikka masala "
"indian","2","24782"," makhani chicken  indian butter chicken  "
"indian","2","74153"," easy indian style okra "
"indian","3","142967"," easy garam masala "
"indian","3","239867"," chef john s chicken tikka masala "
"indian","3","213238"," indian fish curry "
"indian","3","7021"," indian naan ii "
"indian","3","16102"," chicken biryani "
"indian","3","24709"," indian saffron rice "
"indian","3","13059"," spicy indian dahl "
"indian","3","142382"," tim perry s soup  creamy curry cauliflower and broccoli soup  "
"indian","3","86602"," navratan korma "
"indian","3","82813"," curried chicken and brown rice casserole "
"indian","3","52232"," aloo matar "
"indian","3","105046"," cucumber raita "
"indian","3","28011"," tandoori chicken ii "
"indian","3","44445"," keema  indian style ground meat  "
"indian","3","33252"," indian style sheekh kabab "
"indian","3","19834"," kulfi "
"indian","3","81354"," potato curry "
"indian","3","223171"," coconut curry chili "
"indian","3","105691"," indian style rice with cashews  raisins and turmeric "
"indian","3","93597"," authentic and easy shrimp curry "
